"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",28,12636963,"gradual",-8109717,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",30,13444356,"gradual",-9542046,"context","pred","acc"
"33cfb49045f05ef82de746f3f383f1eb",5,72,"p.context.6.pred.acc.89",32,19103150,"gradual",-15662446,"context","pred","acc"
"319697c10f0955dcd51b61f4beee5fef",6,72,"p.context.6.pred.default.86",32,161904286,"gradual",-3311452,"context","pred","default"
"367a38573df4f6f5af20e858f5be48ee",0,73,"m.main.5.inv.pred_inst.8",32,162457282,"gradual",-2673058,"main","inv","pred_inst"
"367a385f3df4f6f5af20e858f5be48ee",0,74,"m.tree_add_right.3.fold.pred_inst.26",30,132238870,"gradual",-1645564,"tree_add_right","fold","pred_inst"
"279fcafe8b5f720c6e0feab660b65f3b",3,74,"p.subtreeHelper.6.pred.default.107",32,244321122,"gradual",-2829812,"subtreeHelper","pred","default"
"319697c10f0955dcd59b61f4beef5fef",6,74,"p.context.6.pred.default.70",32,159948226,"gradual",-2791774,"context","pred","default"
"367a385fbdf4f6f5af20e858f5bf48ee",0,76,"m.tree_add_right.3.fold.pred_inst.30",30,133380339,"gradual",-2268632,"tree_add_right","fold","pred_inst"
"279fcafecb5f730c6e0feab660b65f3b",3,76,"m.tree_get_left.1.pre.pred_inst.31",28,171056436,"gradual",-2301392,"tree_get_left","pre","pred_inst"
"1a8fb371be7c925ebf5451d5ff2b7f61",7,76,"p.subtreeHelper.6.pred.default.109",32,67694845,"gradual",-2397070,"subtreeHelper","pred","default"
"279fdafecb5f730c6e0feab660b65f3b",3,77,"m.tree_add_left.3.fold.pred_inst.17",30,188254423,"gradual",-4934475,"tree_add_left","fold","pred_inst"
"19ddb0d0eab6464e32fd5bff8bbbf75d",4,77,"m.create_tree.3.fold.pred_inst.2",24,19000506,"gradual",-2652620,"create_tree","fold","pred_inst"
"33cfbd9045f05ef92de746f3f383f3fb",5,77,"m.tree_add_left.3.fold.pred_inst.21",22,18118375,"gradual",-1895741,"tree_add_left","fold","pred_inst"
"33cfbd9045f05ef92de746f3f383f3fb",5,77,"m.tree_add_left.3.fold.pred_inst.21",24,18292603,"gradual",-1783522,"tree_add_left","fold","pred_inst"
"33cfbd9045f05ef92de746f3f383f3fb",5,77,"m.tree_add_left.3.fold.pred_inst.21",26,25567559,"gradual",-2664664,"tree_add_left","fold","pred_inst"
"33cfbd9045f05ef92de746f3f383f3fb",5,77,"m.tree_add_left.3.fold.pred_inst.21",28,26907509,"gradual",-2550967,"tree_add_left","fold","pred_inst"
"33cfbd9045f05ef92de746f3f383f3fb",5,77,"m.tree_add_left.3.fold.pred_inst.21",32,46062701,"gradual",-4840614,"tree_add_left","fold","pred_inst"
"359697c10f8955dcd59b61f4beef5fff",6,77,"m.create_tree.3.fold.pred_inst.3",26,272611602,"gradual",-2475555,"create_tree","fold","pred_inst"
"359697c10f8955dcd59b61f4beef5fff",6,77,"m.create_tree.3.fold.pred_inst.3",32,468519011,"gradual",-7134687,"create_tree","fold","pred_inst"
"367a385fbdf4f6f5afa0e858f5bf4aee",0,78,"p.context.6.pred.default.70",32,160339033,"gradual",-4834017,"context","pred","default"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",16,41193031,"gradual",-2306924,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",18,58179458,"gradual",-2066291,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",20,76956402,"gradual",-1942286,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",22,100870054,"gradual",-3550936,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",24,127186904,"gradual",-4365059,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",26,163015921,"gradual",-7604126,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",28,201244461,"gradual",-8809310,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",30,240579814,"gradual",-10732371,"fixup_ancestors","fold","pred_inst"
"27dfdafecb5f730c6e2feab660b65f3b",3,79,"m.fixup_ancestors.3.fold.pred_inst.7",32,300518344,"gradual",-11254668,"fixup_ancestors","fold","pred_inst"
"359697c10f8d55dcd59b61f4beff5fff",6,79,"m.tree_get_parent.4.unfold.pred_inst.43",18,101274726,"gradual",-1902306,"tree_get_parent","unfold","pred_inst"
"359697c10f8d55dcd59b61f4beff5fff",6,79,"m.tree_get_parent.4.unfold.pred_inst.43",24,213515944,"gradual",-2830178,"tree_get_parent","unfold","pred_inst"
"359697c10f8d55dcd59b61f4beff5fff",6,79,"m.tree_get_parent.4.unfold.pred_inst.43",26,272282809,"gradual",-3889233,"tree_get_parent","unfold","pred_inst"
"367e385fbdf5f6f5afa0e858f5bf4aee",0,80,"m.tree_get_parent.3.fold.pred_inst.45",30,132605031,"gradual",-4209338,"tree_get_parent","fold","pred_inst"
"367e385fbdf5f6f5afa0e858f5bf4aee",0,80,"m.tree_get_parent.3.fold.pred_inst.45",32,160529667,"gradual",-6651330,"tree_get_parent","fold","pred_inst"
"fc53b8dabe777bffd058fba575e9c7b",1,80,"p.context.6.pred.acc.83",32,121427895,"gradual",-2321380,"context","pred","acc"
"27dfdafecb5f730c6e2feab660b65fbb",3,80,"p.subtreeHelper.6.pred.acc.118",32,298485609,"gradual",-2032735,"subtreeHelper","pred","acc"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",6,1782944,"gradual",-2870285,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",8,2868537,"gradual",-8320501,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",10,4626959,"gradual",-13601662,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",12,5250298,"gradual",-18533514,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",14,8454780,"gradual",-33783600,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",16,14164185,"gradual",-60745160,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",18,19036369,"gradual",-82238357,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",20,23545812,"gradual",-107356242,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",22,30247271,"gradual",-142313822,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",24,36164434,"gradual",-177351510,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",26,44755148,"gradual",-227527661,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",28,56260442,"gradual",-286010147,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",30,59855461,"gradual",-318812310,"main","inv","default"
"359e97c10f8d55dcd59b61f4beff5fff",6,80,"m.main.5.inv.default.10",32,74851776,"gradual",-396807340,"main","inv","default"
"1b8ff371be7c965ebf7c51d5ff2b7f61",7,81,"m.tree_add_left.4.unfold.pred_inst.15",26,86680677,"gradual",-2302458,"tree_add_left","unfold","pred_inst"
"1b8ff371be7c965ebf7c51d5ff2b7f61",7,81,"m.tree_add_left.4.unfold.pred_inst.15",28,97874009,"gradual",-1643751,"tree_add_left","unfold","pred_inst"
"367e385fbdf5f6f5efa0e858f5ff4aee",0,82,"p.subtreeHelper.6.pred.acc.103",24,88928443,"gradual",-2070837,"subtreeHelper","pred","acc"
"367e385fbdf5f6f5efa0e858f5ff4aee",0,82,"p.subtreeHelper.6.pred.acc.103",28,142425909,"gradual",-2335262,"subtreeHelper","pred","acc"
"367e385fbdf5f6f5efa0e858f5ff4aee",0,82,"p.subtreeHelper.6.pred.acc.103",30,178448463,"gradual",-2264029,"subtreeHelper","pred","acc"
"367e385fbdf5f6f5efa0e858f5ff4aee",0,82,"p.subtreeHelper.6.pred.acc.103",32,216279839,"gradual",-3132504,"subtreeHelper","pred","acc"
"fc53b8fabe777bffd0d8fba575e9c7b",1,82,"m.tree_add_right.4.unfold.pred_inst.28",32,120232187,"gradual",-2295020,"tree_add_right","unfold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",10,4423007,"gradual",-2281013,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",12,5811121,"gradual",-3244228,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",14,9368866,"gradual",-5864591,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",16,11712523,"gradual",-7776411,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",18,14862955,"gradual",-9450549,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",20,18609352,"gradual",-12448296,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",22,23214316,"gradual",-15922319,"tree_has_left","fold","pred_inst"
"19ddb0d2eab6464fb6fd7bff8bbbf75d",4,82,"m.tree_has_left.3.fold.pred_inst.61",24,24643963,"gradual",-17800154,"tree_has_left","fold","pred_inst"
