"conjuncts","type","path_id","level_id"
203,"static",4,35
203,"static",4,36
203,"static",4,37
205,"static",4,38
207,"static",4,39
207,"static",4,40
207,"static",4,41
207,"static",4,42
207,"static",4,43
210,"static",4,44
212,"static",4,45
212,"static",4,46
214,"static",4,47
214,"static",4,48
232,"static",4,49
232,"static",4,50
232,"static",4,51
232,"static",4,52
232,"static",4,53
234,"static",4,54
234,"static",4,55
234,"static",4,56
235,"static",4,57
236,"static",4,58
236,"static",4,59
237,"static",4,60
240,"static",4,61
240,"static",4,62
252,"static",4,63
252,"static",4,64
670,"static",4,65
687,"static",4,66
691,"static",4,67
694,"static",4,68
694,"static",4,69
694,"static",4,70
694,"static",4,71
696,"static",4,72
699,"static",4,73
703,"static",4,74
706,"static",4,75
759,"static",4,76
787,"static",4,77
787,"static",4,78
787,"static",4,79
806,"static",4,80
817,"static",4,81
828,"static",4,82
836,"static",4,83
836,"static",4,84
880,"static",4,85
882,"static",4,86
899,"static",4,87
911,"static",4,88
919,"static",4,89
923,"static",4,90
923,"static",4,91
923,"static",4,92
923,"static",4,93
1009,"static",4,94
1009,"static",4,95
1009,"static",4,96
1011,"static",4,97
1012,"static",4,98
1017,"static",4,99
1165,"static",4,100
1167,"static",4,101
1146,"static",4,102
1148,"static",4,103
1182,"static",4,104
1183,"static",4,105
1250,"static",4,106
1255,"static",4,107
1257,"static",4,108
1274,"static",4,109
1274,"static",4,110
1279,"static",4,111
1279,"static",4,112
1319,"static",4,113
1323,"static",4,114
1325,"static",4,115
1325,"static",4,116
1341,"static",4,117
1345,"static",4,118
1345,"static",4,119
1345,"static",4,120
1383,"static",4,121
1388,"static",4,122
1406,"static",4,123
1422,"static",4,124
1431,"static",4,125
181,"static",5,1
181,"static",5,2
181,"static",5,3
187,"static",5,4
187,"static",5,5
187,"static",5,6
187,"static",5,7
187,"static",5,8
189,"static",5,9
189,"static",5,10
189,"static",5,11
189,"static",5,12
189,"static",5,13
189,"static",5,14
227,"static",5,15
227,"static",5,16
227,"static",5,17
227,"static",5,18
227,"static",5,19
231,"static",5,20
235,"static",5,21
235,"static",5,22
235,"static",5,23
243,"static",5,24
243,"static",5,25
245,"static",5,26
245,"static",5,27
245,"static",5,28
247,"static",5,29
135,"static",5,30
138,"static",5,31
138,"static",5,32
138,"static",5,33
138,"static",5,34
138,"static",5,35
138,"static",5,36
140,"static",5,37
141,"static",5,38
145,"static",5,39
148,"static",5,40
171,"static",5,41
173,"static",5,42
175,"static",5,43
181,"static",5,44
181,"static",5,45
181,"static",5,46
185,"static",5,47
186,"static",5,48
191,"static",5,49
197,"static",5,50
199,"static",5,51
199,"static",5,52
208,"static",5,53
210,"static",5,54
214,"static",5,55
441,"static",5,56
441,"static",5,57
443,"static",5,58
454,"static",5,59
522,"static",5,60
527,"static",5,61
529,"static",5,62
521,"static",5,63
522,"static",5,64
527,"static",5,65
527,"static",5,66
527,"static",5,67
527,"static",5,68
527,"static",5,69
527,"static",5,70
527,"static",5,71
603,"static",5,72
