"id","path_id","level_id","component_added","stress","median","verification","diff"
"457a169016ef221deae7",0,40,"m.appendLemmaAfterLoopBody.2.post.11",12,1063719,"gradual",-239154
"68b5abda153943ceb4a2",2,40,"m.appendLemmaLoopBody.1.pre.22",52,2389335,"gradual",-238250
"1b9ae0106f291f977f12",7,40,"m.appendLemmaLoopBody.2.post.33",16,1109589,"gradual",-187221
"1b9ae0106f291f977f12",7,40,"m.appendLemmaLoopBody.2.post.33",56,2535130,"gradual",-178512
"1b9ae0106f291f977f12",7,40,"m.appendLemmaLoopBody.2.post.33",64,3076146,"gradual",-187480
"457b169016ef221deee7",0,42,"m.appendLemmaAfterLoopBody.3.fold.14",24,1279200,"gradual",-296849
"457b169016ef221deee7",0,42,"m.appendLemmaAfterLoopBody.3.fold.14",28,1377972,"gradual",-304393
"457b169016ef221deee7",0,42,"m.appendLemmaAfterLoopBody.3.fold.14",32,1519291,"gradual",-329638
"18223d80b7bc97b77c67",3,42,"m.appendLemmaLoopBody.1.pre.23",40,1738648,"gradual",-268906
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",0,913634,"gradual",-200998
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",8,900907,"gradual",-187145
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",36,1606739,"gradual",-381644
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",48,1997891,"gradual",-236310
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",52,2269362,"gradual",-191384
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",56,2489719,"gradual",-223559
"45ad3593a2cd0dbcef62",6,42,"m.list_insert.4.unfold.65",64,2902299,"gradual",-269944
"457b169016ef221dfee7",0,43,"m.list_insert.3.fold.66",60,2710243,"gradual",-182900
"56fc8317ea590c51f7db",5,44,"m.list_insert.2.post.43",28,5151819,"gradual",-1223115
"736afa1cdb675b59c58a",1,45,"m.appendLemmaAfterLoopBody.1.pre.6",20,1151214,"gradual",-222584
"736afa1cdb675b59c58a",1,45,"m.appendLemmaAfterLoopBody.1.pre.6",60,2759336,"gradual",-414149
"1bbae818ef291f9f7f12",7,45,"m.appendLemmaLoopBody.1.pre.19",20,1410199,"gradual",-226846
"43a85ff79ddd784dcec4",4,46,"m.list_insert.4.unfold.44",40,1853667,"gradual",-180988
"56fccb17ea594c51f7db",5,47,"m.appendLemmaLoopBody.1.pre.19",8,1126481,"gradual",-291900
"56fccb17ea594c51f7db",5,47,"m.appendLemmaLoopBody.1.pre.19",44,14846779,"gradual",-245114
"56fccb17ea594c51f7db",5,47,"m.appendLemmaLoopBody.1.pre.19",48,18849840,"gradual",-379861
"56fccb17ea594c51f7db",5,47,"m.appendLemmaLoopBody.1.pre.19",52,23431796,"gradual",-192423
"56fccb17ea594c51f7db",5,47,"m.appendLemmaLoopBody.1.pre.19",56,28351621,"gradual",-456466
"56fccb17ea594c51f7db",5,47,"m.appendLemmaLoopBody.1.pre.19",60,34206155,"gradual",-232022
"56fccb17ea594c55f7db",5,48,"m.list_insert.3.fold.60",52,23247221,"gradual",-184575
"4dfb369816ff231dfee7",0,49,"m.appendLemmaAfterLoopBody.1.pre.3",48,2184541,"gradual",-287745
"4dfb369816ff231dfee7",0,49,"m.appendLemmaAfterLoopBody.1.pre.3",52,2386622,"gradual",-188388
"4dfb369816ff231dfee7",0,49,"m.appendLemmaAfterLoopBody.1.pre.3",56,2568730,"gradual",-312261
"4dfb369816ff231dfee7",0,49,"m.appendLemmaAfterLoopBody.1.pre.3",60,2761205,"gradual",-264205
"4dfb369816ff231dfee7",0,49,"m.appendLemmaAfterLoopBody.1.pre.3",64,3097829,"gradual",-249718
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",0,1095688,"gradual",-2973899
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",4,885065,"gradual",-2012029
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",8,1003469,"gradual",-2095672
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",12,981796,"gradual",-2160682
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",16,1010729,"gradual",-250531
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",24,1298292,"gradual",-351427
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",36,1652665,"gradual",-182306
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",44,2064674,"gradual",-723851
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",48,2392297,"gradual",-316345
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",52,2421092,"gradual",-225550
"1bbae818ef299fff7f16",7,49,"m.list_insert.3.fold.47",60,2721262,"gradual",-210538
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",20,2696677,"gradual",-250439
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",24,3691224,"gradual",-220311
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",28,4975152,"gradual",-188556
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",40,11687993,"gradual",-250722
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",48,18868084,"gradual",-908089
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",52,23543821,"gradual",-227896
"5efccb17ea596c55f7db",5,50,"m.list_insert.4.unfold.49",64,41109098,"gradual",-652997
"1bbae818ef299fff7f36",7,50,"p.sortedSeg.6.pred.73",48,2202784,"gradual",-189513
"1bbae818ef299fff7f36",7,50,"p.sortedSeg.6.pred.73",56,2455658,"gradual",-253656
"1bbae818ef299fff7f36",7,50,"p.sortedSeg.6.pred.73",64,2915758,"gradual",-287417
"5efccb17ea59ec55f7db",5,51,"m.list_insert.3.fold.47",56,28529711,"gradual",-284025
"5efccb17ea59ec55f7db",5,51,"m.list_insert.3.fold.47",60,34401538,"gradual",-350967
"7cfdabfa3d3967def4ea",2,53,"m.list_insert.3.fold.64",60,3049466,"gradual",-186332
"38227fc0bfbcbfff7e6f",3,53,"m.main.5.inv.69",60,2685740,"gradual",-213610
"38227fc0bfbcbfff7e6f",3,53,"m.main.5.inv.69",64,2853513,"gradual",-211109
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",4,984380,"gradual",-178253
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",24,1341470,"gradual",-235372
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",36,1674095,"gradual",-261391
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",44,1939929,"gradual",-240768
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",48,2154856,"gradual",-274909
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",52,2225508,"gradual",-335128
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",56,2499813,"gradual",-249723
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",60,2708602,"gradual",-260944
"53a95ff7dfdf7c4dcfc4",4,53,"m.appendLemmaLoopBody.2.post.32",64,2956885,"gradual",-195388
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",20,2741057,"gradual",-258345
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",24,3649103,"gradual",-368158
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",36,9018452,"gradual",-357748
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",40,11759900,"gradual",-470868
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",44,15038229,"gradual",-223737
"5efccb17ea5ded55f7db",5,53,"m.list_insert.4.unfold.44",48,18917178,"gradual",-298766
