"permutation_id","program_name","percent_specified","mean"
5488,"list",84.4,0.002318982
5488,"list",84.4,3.784768886
5488,"list",84.4,0.035010535
5488,"list",84.4,0.220463118
5490,"avlja",55,0.003951056
5490,"avlja",55,29.448387407
5490,"avlja",55,0.041121675
5490,"avlja",55,2.28491427
5491,"bst",90.8,0.00637932
5491,"bst",90.8,0.460269714
5491,"bst",90.8,0.007083523
5491,"bst",90.8,0.28689705
5492,"composite",60.2,0.003934512
5492,"composite",60.2,0.963299522
5492,"composite",60.2,0.014240516
5492,"composite",60.2,0.870267184
5495,"list",85.3,0.002116523
5495,"list",85.3,3.835178449
5495,"list",85.3,0.035176744
5495,"list",85.3,0.220521579
5496,"avlja",55.5,0.004363913
5496,"avlja",55.5,51.119649709
5496,"avlja",55.5,0.057542271
5496,"avlja",55.5,3.518319059
5497,"bst",91.2,0.006265105
5497,"bst",91.2,0.42336378
5497,"bst",91.2,0.006927653
5497,"bst",91.2,0.299587078
5498,"composite",60.9,0.003855369
5498,"composite",60.9,1.001311158
5498,"composite",60.9,0.012940792
5498,"composite",60.9,0.85574991
5501,"bst",91.7,0.006409477
5501,"bst",91.7,0.42696243
5501,"bst",91.7,0.006692171
5501,"bst",91.7,0.290044846
5503,"list",86.2,0.002094968
5503,"list",86.2,3.696244064
5503,"list",86.2,0.035156555
5503,"list",86.2,0.220830568
5504,"avlja",56,0.003832341
5504,"avlja",56,50.844743181
5504,"avlja",56,0.056770671
5504,"avlja",56,3.53184254
5505,"composite",61.5,0.00393885
5505,"composite",61.5,1.001792531
5505,"composite",61.5,0.013344134
5505,"composite",61.5,0.845766516
5507,"bst",92.2,0.006334597
5507,"bst",92.2,0.504081764
5507,"bst",92.2,0.007064888
5507,"bst",92.2,0.294669019
5508,"composite",62.1,0.003952395
5508,"composite",62.1,1.055605879
5508,"composite",62.1,0.014600085
5508,"composite",62.1,0.88200128
5510,"list",87.2,0.002449521
5510,"list",87.2,3.711663268
5510,"list",87.2,0.03340734
5510,"list",87.2,0.207314464
5511,"avlja",56.5,0.00438726
5511,"avlja",56.5,52.41159529
5511,"avlja",56.5,0.066326976
5511,"avlja",56.5,4.073004677
5514,"list",88.1,0.002752038
5514,"list",88.1,3.692560354
5514,"list",88.1,0.034660399
5514,"list",88.1,0.202813801
5515,"composite",62.7,0.003816341
5515,"composite",62.7,1.205711032
5515,"composite",62.7,0.012770473
5515,"composite",62.7,0.836340239
5516,"bst",92.6,0.006448554
5516,"bst",92.6,0.443796249
5516,"bst",92.6,0.007041167
5516,"bst",92.6,0.298228164
5518,"avlja",57.1,0.003824675
5518,"avlja",57.1,51.885763271
5518,"avlja",57.1,0.065936911
5518,"avlja",57.1,4.136312843
5520,"composite",63.4,0.004373236
5520,"composite",63.4,1.312472935
5520,"composite",63.4,0.013917449
5520,"composite",63.4,0.848960119
5521,"list",89,0.002138451
5521,"list",89,3.69464286
5521,"list",89,0.037005727
5521,"list",89,0.214153634
5522,"bst",93.1,0.006333072
5522,"bst",93.1,0.511932183
5522,"bst",93.1,0.00718882
5522,"bst",93.1,0.299724168
5523,"avlja",57.6,0.00389352
5523,"avlja",57.6,54.286938829
5523,"avlja",57.6,0.0647963
5523,"avlja",57.6,4.086416183
5526,"composite",64,0.00407262
5526,"composite",64,1.240307033
5526,"composite",64,0.012975307
5526,"composite",64,0.836260757
5527,"list",89.9,0.002498958
5527,"list",89.9,3.997111453
5527,"list",89.9,0.021065475
5527,"list",89.9,0.157490295
5528,"bst",93.5,0.006316891
5528,"bst",93.5,0.482917871
5528,"bst",93.5,0.006435595
5528,"bst",93.5,0.271127927
5529,"avlja",58.1,0.003819178
5529,"avlja",58.1,53.67867585
5529,"avlja",58.1,0.064346683
5529,"avlja",58.1,4.134445726
5531,"list",90.8,0.002283747
5531,"list",90.8,4.52530432
5531,"list",90.8,0.012657813
5531,"list",90.8,0.121405889
5533,"composite",64.6,0.00396865
5533,"composite",64.6,1.243057805
5533,"composite",64.6,0.012940148
5533,"composite",64.6,0.83795928
5534,"bst",94,0.007152759
5534,"bst",94,0.556560253
5534,"bst",94,0.007003746
5534,"bst",94,0.274597158
5535,"avlja",58.6,0.004384316
5535,"avlja",58.6,51.078676749
5535,"avlja",58.6,0.064585527
5535,"avlja",58.6,4.124580165
5538,"list",91.7,0.00243941
5538,"list",91.7,4.519214322
5538,"list",91.7,0.012914697
5538,"list",91.7,0.126473203
5539,"bst",94.5,0.006380798
5539,"bst",94.5,0.449845787
5539,"bst",94.5,0.00691331
5539,"bst",94.5,0.297900495
5540,"composite",65.2,0.004336018
5540,"composite",65.2,1.295398754
5540,"composite",65.2,0.013294626
5540,"composite",65.2,0.848644109
5541,"avlja",59.2,0.004387482
