"stress","iter","median","mean","stdev","min","max","only_framing","unverified","dynamic"
108,3,4.794082429,4772862456,40814404,4725809361,4798695580,NA,NA,-0.11545327493362
110,3,4.808950559,4801783288,18257962,4781029159,4815370147,NA,NA,-0.1154717608461
112,3,5.638093283,5628869356,18770708,5607271255,5641243530,NA,NA,-0.115490597060045
114,3,5.809096643,5788191186,59861114,5720680817,5834796100,NA,NA,-0.115509783426558
116,3,6.720351976,6716948749,8760722,6706997058,6723497214,NA,NA,-0.115529319803726
118,3,5.914045057,5909118860,11175389,5896326736,5916984787,NA,NA,-0.115549206056184
120,3,6.079215259,6094425869,47150271,6056758378,6147303971,NA,NA,-0.115569442054707
122,3,6.754256714,6771006267,82225329,6698445304,6860316785,NA,NA,-0.115590027675842
124,3,6.30606232,6343347133,76971203,6292118601,6431860480,NA,NA,-0.115610962801558
126,3,6.837421025,6873752275,101857778,6795041499,6988794302,NA,NA,-0.115632247318936
128,3,10.049180972,10146696848,319407240,9887414244,10503495328,NA,NA,-0.115653881119862
