"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",2614,66,153,"Eliminated",968,70.5
"bst",2620,66,154,"Eliminated",997,71
"bst",2626,66,155,"Eliminated",997,71.4
"bst",2632,66,156,"Eliminated",999,71.9
"bst",2638,66,157,"Eliminated",1000,72.4
"bst",2645,66,158,"Eliminated",1004,72.8
"bst",2651,66,159,"Eliminated",1005,73.3
"bst",2657,66,160,"Eliminated",1005,73.7
"bst",2663,66,161,"Eliminated",1005,74.2
"bst",2669,66,162,"Eliminated",1032,74.7
"bst",2675,66,163,"Eliminated",1032,75.1
"bst",2681,66,164,"Eliminated",1034,75.6
"bst",2687,66,165,"Eliminated",1044,76
"bst",2693,66,166,"Eliminated",1073,76.5
"bst",2699,66,167,"Eliminated",1073,77
"bst",2705,66,168,"Eliminated",1073,77.4
"bst",2711,66,169,"Eliminated",1073,77.9
"bst",2717,66,170,"Eliminated",1074,78.3
"bst",2722,66,171,"Eliminated",1177,78.8
"bst",2730,66,172,"Eliminated",1177,79.3
"bst",2734,66,173,"Eliminated",1193,79.7
"bst",2741,66,174,"Eliminated",1193,80.2
"bst",2748,66,175,"Eliminated",1193,80.6
"bst",2757,66,176,"Eliminated",1197,81.1
"bst",2761,66,177,"Eliminated",1202,81.6
"bst",2767,66,178,"Eliminated",1202,82
"bst",2775,66,179,"Eliminated",1205,82.5
"bst",2781,66,180,"Eliminated",1205,82.9
"bst",2786,66,181,"Eliminated",1205,83.4
"bst",2792,66,182,"Eliminated",1206,83.9
"bst",2798,66,183,"Eliminated",1206,84.3
"bst",2804,66,184,"Eliminated",1215,84.8
"bst",2811,66,185,"Eliminated",1215,85.3
"bst",2817,66,186,"Eliminated",1216,85.7
"bst",2825,66,187,"Eliminated",1230,86.2
"bst",2830,66,188,"Eliminated",1230,86.6
"bst",2837,66,189,"Eliminated",1230,87.1
"bst",2843,66,190,"Eliminated",1237,87.6
"bst",2850,66,191,"Eliminated",1244,88
"bst",2857,66,192,"Eliminated",1244,88.5
"bst",2863,66,193,"Eliminated",1244,88.9
"bst",2870,66,194,"Eliminated",1244,89.4
"bst",2877,66,195,"Eliminated",1253,89.9
"bst",2883,66,196,"Eliminated",1284,90.3
"bst",2891,66,197,"Eliminated",1284,90.8
"bst",2896,66,198,"Eliminated",1284,91.2
"bst",2902,66,199,"Eliminated",1284,91.7
"bst",2908,66,200,"Eliminated",1284,92.2
"bst",2913,66,201,"Eliminated",1297,92.6
"bst",2919,66,202,"Eliminated",1297,93.1
"bst",2924,66,203,"Eliminated",1297,93.5
"bst",2930,66,204,"Eliminated",1304,94
"bst",2936,66,205,"Eliminated",1304,94.5
"bst",2942,66,206,"Eliminated",1304,94.9
"bst",2948,66,207,"Eliminated",1267,95.4
"bst",2954,66,208,"Eliminated",1273,95.9
"bst",2959,66,209,"Eliminated",1328,96.3
"bst",2965,66,210,"Eliminated",1336,96.8
"bst",2971,66,211,"Eliminated",1311,97.2
"bst",2979,66,212,"Eliminated",1319,97.7
"bst",2985,66,213,"Eliminated",1319,98.2
"bst",2993,66,214,"Eliminated",1321,98.6
"bst",2998,66,215,"Eliminated",1321,99.1
"bst",3003,66,216,"Eliminated",1321,99.5
"bst",3009,66,217,"Eliminated",1321,100
"bst",3017,67,1,"Eliminated",202,0.5
"bst",3023,67,2,"Eliminated",204,0.9
"bst",3029,67,3,"Eliminated",206,1.4
"bst",3034,67,4,"Eliminated",206,1.8
"bst",3041,67,5,"Eliminated",206,2.3
"bst",3047,67,6,"Eliminated",206,2.8
"bst",3054,67,7,"Eliminated",208,3.2
"bst",3056,67,8,"Eliminated",210,3.7
"bst",3062,67,9,"Eliminated",211,4.1
"bst",3068,67,10,"Eliminated",215,4.6
"bst",3074,67,11,"Eliminated",216,5.1
"bst",3080,67,12,"Eliminated",218,5.5
"bst",3086,67,13,"Eliminated",224,6
"bst",3092,67,14,"Eliminated",238,6.5
"bst",3098,67,15,"Eliminated",242,6.9
"bst",3104,67,16,"Eliminated",242,7.4
"bst",3109,67,17,"Eliminated",242,7.8
"bst",3114,67,18,"Eliminated",244,8.3
"bst",3123,67,19,"Eliminated",246,8.8
"bst",3129,67,20,"Eliminated",246,9.2
"bst",3134,67,21,"Eliminated",246,9.7
"bst",3142,67,22,"Eliminated",256,10.1
"bst",3148,67,23,"Eliminated",261,10.6
"bst",3154,67,24,"Eliminated",261,11.1
"bst",3160,67,25,"Eliminated",278,11.5
"bst",3165,67,26,"Eliminated",278,12
"bst",3170,67,27,"Eliminated",277,12.4
"bst",3176,67,28,"Eliminated",275,12.9
"bst",3182,67,29,"Eliminated",276,13.4
"bst",3188,67,30,"Eliminated",280,13.8
"bst",3194,67,31,"Eliminated",282,14.3
"bst",3200,67,32,"Eliminated",285,14.7
"bst",3206,67,33,"Eliminated",287,15.2
"bst",3212,67,34,"Eliminated",326,15.7
"bst",3218,67,35,"Eliminated",337,16.1
"bst",3224,67,36,"Eliminated",341,16.6
"bst",3230,67,37,"Eliminated",341,17.1
"bst",3236,67,38,"Eliminated",345,17.5
"bst",3242,67,39,"Eliminated",345,18
"bst",3246,67,40,"Eliminated",349,18.4
"bst",3252,67,41,"Eliminated",349,18.9
"bst",3259,67,42,"Eliminated",348,19.4
"bst",3264,67,43,"Eliminated",350,19.8
"bst",3269,67,44,"Eliminated",352,20.3
"bst",3275,67,45,"Eliminated",352,20.7
"bst",3281,67,46,"Eliminated",352,21.2
"bst",3287,67,47,"Eliminated",356,21.7
"bst",3291,67,48,"Eliminated",357,22.1
"bst",3296,67,49,"Eliminated",364,22.6
"bst",3303,67,50,"Eliminated",366,23
"bst",3309,67,51,"Eliminated",372,23.5
"bst",3315,67,52,"Eliminated",377,24
"bst",3321,67,53,"Eliminated",377,24.4
"bst",3326,67,54,"Eliminated",379,24.9
"bst",3332,67,55,"Eliminated",398,25.3
"bst",3336,67,56,"Eliminated",404,25.8
"bst",3342,67,57,"Eliminated",408,26.3
"bst",3348,67,58,"Eliminated",408,26.7
"bst",3354,67,59,"Eliminated",407,27.2
"bst",3360,67,60,"Eliminated",407,27.6
"bst",3366,67,61,"Eliminated",408,28.1
"bst",3371,67,62,"Eliminated",408,28.6
"bst",3377,67,63,"Eliminated",408,29
"bst",3383,67,64,"Eliminated",410,29.5
"bst",3392,67,65,"Eliminated",418,30
"bst",3398,67,66,"Eliminated",418,30.4
"bst",3404,67,67,"Eliminated",417,30.9
"bst",3410,67,68,"Eliminated",419,31.3
"bst",3416,67,69,"Eliminated",434,31.8
"bst",3421,67,70,"Eliminated",444,32.3
"bst",3426,67,71,"Eliminated",444,32.7
"bst",3433,67,72,"Eliminated",446,33.2
"bst",3439,67,73,"Eliminated",450,33.6
"bst",3445,67,74,"Eliminated",453,34.1
"bst",3450,67,75,"Eliminated",464,34.6
"bst",3458,67,76,"Eliminated",473,35
"bst",3463,67,77,"Eliminated",481,35.5
"bst",3468,67,78,"Eliminated",481,35.9
"bst",3474,67,79,"Eliminated",485,36.4
"bst",3480,67,80,"Eliminated",485,36.9
"bst",3486,67,81,"Eliminated",485,37.3
"bst",3492,67,82,"Eliminated",493,37.8
"bst",3498,67,83,"Eliminated",495,38.2
"bst",3504,67,84,"Eliminated",497,38.7
"bst",3510,67,85,"Eliminated",497,39.2
"bst",3514,67,86,"Eliminated",498,39.6
"bst",3521,67,87,"Eliminated",499,40.1
"bst",3528,67,88,"Eliminated",499,40.6
"bst",3534,67,89,"Eliminated",506,41
"bst",3541,67,90,"Eliminated",508,41.5
"bst",3546,67,91,"Eliminated",516,41.9
"bst",3554,67,92,"Eliminated",529,42.4
"bst",3560,67,93,"Eliminated",531,42.9
"bst",3566,67,94,"Eliminated",541,43.3
"bst",3571,67,95,"Eliminated",542,43.8
"bst",3580,67,96,"Eliminated",544,44.2
"bst",3586,67,97,"Eliminated",548,44.7
"bst",3594,67,98,"Eliminated",550,45.2
"bst",3601,67,99,"Eliminated",558,45.6
"bst",3605,67,100,"Eliminated",558,46.1
"bst",3613,67,101,"Eliminated",558,46.5
"bst",3618,67,102,"Eliminated",557,47
"bst",3624,67,103,"Eliminated",555,47.5
"bst",3630,67,104,"Eliminated",553,47.9
"bst",3636,67,105,"Eliminated",554,48.4
"bst",3642,67,106,"Eliminated",554,48.8
"bst",3648,67,107,"Eliminated",578,49.3
"bst",3653,67,108,"Eliminated",598,49.8
"bst",3658,67,109,"Eliminated",616,50.2
"bst",3663,67,110,"Eliminated",616,50.7
"bst",3669,67,111,"Eliminated",634,51.2
"bst",3675,67,112,"Eliminated",638,51.6
"bst",3681,67,113,"Eliminated",657,52.1
"bst",3687,67,114,"Eliminated",657,52.5
"bst",3693,67,115,"Eliminated",659,53
"bst",3699,67,116,"Eliminated",662,53.5
"bst",3705,67,117,"Eliminated",665,53.9
"bst",3709,67,118,"Eliminated",666,54.4
"bst",3715,67,119,"Eliminated",696,54.8
"bst",3722,67,120,"Eliminated",715,55.3
"bst",3728,67,121,"Eliminated",715,55.8
"bst",3734,67,122,"Eliminated",714,56.2
"bst",3738,67,123,"Eliminated",714,56.7
"bst",3744,67,124,"Eliminated",721,57.1
"bst",3750,67,125,"Eliminated",721,57.6
"bst",3756,67,126,"Eliminated",749,58.1
"bst",3762,67,127,"Eliminated",759,58.5
"bst",3768,67,128,"Eliminated",759,59
"bst",3774,67,129,"Eliminated",834,59.4
"bst",3780,67,130,"Eliminated",834,59.9
"bst",3786,67,131,"Eliminated",856,60.4
"bst",3792,67,132,"Eliminated",857,60.8
"bst",3798,67,133,"Eliminated",861,61.3
"bst",3804,67,134,"Eliminated",861,61.8
"bst",3810,67,135,"Eliminated",864,62.2
"bst",3816,67,136,"Eliminated",871,62.7
"bst",3822,67,137,"Eliminated",872,63.1
"bst",3828,67,138,"Eliminated",879,63.6
"bst",3834,67,139,"Eliminated",880,64.1
"bst",3840,67,140,"Eliminated",881,64.5
"bst",3846,67,141,"Eliminated",902,65
"bst",3852,67,142,"Eliminated",902,65.4
"bst",3858,67,143,"Eliminated",908,65.9
"bst",3864,67,144,"Eliminated",908,66.4
"bst",3870,67,145,"Eliminated",915,66.8
