id,path_id,level_id,component_added
16915340b88e2f90a21b11c733e20e10001c7b,5,61,m.tree_add.4.unfold.18
16915340b88e2f90a21b11c733e20e10041c7b,5,62,m.tree_remove_lemma_right.3.fold.134
36915340b88e2f90a21b11c733e20e10041c7b,5,63,m.create_tree.3.fold.3
36915340b88e2f90a21b11c7b3e20e10041c7b,5,64,m.tree_remove_helper.4.unfold.97
36915340b88e2f94a21b11c7b3e20e10041c7b,5,65,m.tree_max_lemma.2.post.62
36915340b88e2f94a21b11c7b3e28e10041c7b,5,66,m.tree_remove_lemma_left2.1.pre.113
369153c0b88e2f94a21b11c7b3e28e10041c7b,5,67,m.tree_add_helper.3.fold.25
369153c4b88e2f94a21b11c7b3e28e10041c7b,5,68,m.tree_contains_helper.1.pre.30
369153c4b88e2f94a21b11c7b3ea8e10041c7b,5,69,m.tree_remove_lemma_left.3.fold.109
369153c5b88e2f94a21b11c7b3ea8e10041c7b,5,70,m.tree_contains_helper.4.unfold.32
769153c5b88e2f94a21b11c7b3ea8e10041c7b,5,71,m.create_tree.2.post.2
769153c5b88e2f94a31b11c7b3ea8e10041c7b,5,72,m.tree_min_helper.2.post.72
769153c5b88e2f9ca31b11c7b3ea8e10041c7b,5,73,m.tree_max_lemma.1.pre.61
769153c5b88e2f9ca31b11c7b3ea8e11041c7b,5,74,m.tree_remove_lemma_min.3.fold.128
769153c5b88e2f9ce31b11c7b3ea8e11041c7b,5,75,m.tree_min.1.pre.66
769153c5b88e2f9ce31b11c7b3fa8e11041c7b,5,76,m.tree_remove_lemma_left.4.unfold.108
769153c5b88f2f9ce31b11c7b3fa8e11041c7b,5,77,m.tree_max.3.fold.48
769153c5b88faf9ce31b11c7b3fa8e11041c7b,5,78,m.tree_max_helper.1.pre.49
769553c5b88faf9ce31b11c7b3fa8e11041c7b,5,79,m.tree_add.1.pre.14
1769553c5b88faf9ce31b11c7b3fa8e11041c7b,5,80,m.create_tree.1.pre.0
1769553c5b88faf9ce31b11c7b3fb8e11041c7b,5,81,m.tree_remove_lemma_left2.1.pre.112
1769553c5f88faf9ce31b11c7b3fb8e11041c7b,5,82,m.tree_contains_helper.3.fold.34
1769553c5f88faf9ce31b11c7b3fb8e91041c7b,5,83,m.tree_remove_lemma_max.2.post.121
1769553c5f88faf9ce31b11c7b3fb8e99041c7b,5,84,m.tree_remove_lemma_min.1.pre.125
1769553c5f88faf9ce31b11c7b3fb8e99043c7b,5,85,p.bst.6.pred.139
1769553c5f88faf9ce33b11c7b3fb8e99043c7b,5,86,m.tree_min_helper.3.fold.75
1769553c5f88faf9ce33b11c7b3fb8e99063c7b,5,87,m.tree_remove_lemma_right.3.fold.135
1769553c5f88fafbce33b11c7b3fb8e99063c7b,5,88,m.tree_max_helper.3.fold.59
1769553c5f88fafbce33b11c7b3fb8f99063c7b,5,89,m.tree_remove_lemma_max.1.pre.120
1769553c5f88fafbce33b51c7b3fb8f99063c7b,5,90,m.tree_min_lemma.1.pre.82
1769553c5f88fafbce33b51e7b3fb8f99063c7b,5,91,m.tree_remove_helper.2.post.91
1769553c5f88fafbce33b51e7b3fb8f99067c7b,5,92,p.bst.6.pred.138
1769553c5f88fafbce33b51e7b3fb8f99067e7b,5,93,p.bstRemove.6.pred.143
1769557c5f88fafbce33b51e7b3fb8f99067e7b,5,94,m.tree_add_helper.1.pre.22
1769557c5f88fafbde33b51e7b3fb8f99067e7b,5,95,m.tree_max_lemma.3.fold.64
1769557c5f88fafbde33b51e7b3ff8f99067e7b,5,96,m.tree_remove_lemma_left.3.fold.110
1f69557c5f88fafbde33b51e7b3ff8f99067e7b,5,97,m.create_tree.1.pre.1
1f69557c5f88fafbde33b51e7b3ff8f99467e7b,5,98,m.tree_remove_lemma_right.1.pre.130
1f69557c5f88fafbde33b71e7b3ff8f99467e7b,5,99,m.tree_min_lemma.2.post.83
1f69557c5f88fafbde37b71e7b3ff8f99467e7b,5,100,m.tree_min_helper.4.unfold.74
1f69557c5f88faffde37b71e7b3ff8f99467e7b,5,101,m.tree_max_helper.3.fold.58
1f69557c5f88faffde37b71e7b3ff8fb9467e7b,5,102,m.tree_remove_lemma_max.3.fold.123
1f69557c5f88fafffe37b71e7b3ff8fb9467e7b,5,103,m.tree_max_lemma.4.unfold.63
1f69557c5f88fafffe37b71e7b3ff8fb9667e7b,5,104,m.tree_remove_lemma_right.2.post.131
1f69557e5f88fafffe37b71e7b3ff8fb9667e7b,5,105,m.tree_contains.2.post.27
1f69557e5f8cfafffe37b71e7b3ff8fb9667e7b,5,106,m.tree_main_lemma_bst.4.unfold.42
1f6955fe5f8cfafffe37b71e7b3ff8fb9667e7b,5,107,m.tree_add_helper.1.pre.21
1f6955fe5facfafffe37b71e7b3ff8fb9667e7b,5,108,m.tree_main_lemma.3.fold.39
1f7955fe5facfafffe37b71e7b3ff8fb9667e7b,5,109,m.create_tree_helper.3.fold.8
1f7955fedfacfafffe37b71e7b3ff8fb9667e7b,5,110,m.tree_contains.3.fold.29
1f7955fedfacfafffe77b71e7b3ff8fb9667e7b,5,111,m.tree_min_helper.1.pre.70
1f7955fedfacfafffe77b71e7b3ff8ff9667e7b,5,112,m.tree_remove_lemma_max.4.unfold.122
1f7955fedfacfafffe77b71e7b3ff8ff9667e7f,5,113,p.bstRemove.6.pred.150
1f7957fedfacfafffe77b71e7b3ff8ff9667e7f,5,114,m.tree_add.3.fold.19
1f7b57fedfacfafffe77b71e7b3ff8ff9667e7f,5,115,m.main.5.inv.11
1f7b57fedfacfafffe77b79e7b3ff8ff9667e7f,5,116,m.tree_min_lemma.3.fold.85
1f7f57fedfacfafffe77b79e7b3ff8ff9667e7f,5,117,m.main.5.inv.10
1f7f57fedfacfafffe77b7be7b3ff8ff9667e7f,5,118,m.tree_remove.2.post.87
1f7f57fedfacfefffe77b7be7b3ff8ff9667e7f,5,119,m.tree_max_helper.1.pre.50
1f7f57fedfaefefffe77b7be7b3ff8ff9667e7f,5,120,m.tree_main_lemma_bst.3.fold.43
1f7f57fedfeefefffe77b7be7b3ff8ff9667e7f,5,121,m.tree_main_lemma.4.unfold.38
1f7f57fedfeefefffe77b7be7b7ff8ff9667e7f,5,122,m.tree_remove_lemma.2.post.102
1f7f57fedfeefefffe77b7befb7ff8ff9667e7f,5,123,m.tree_remove_helper.4.unfold.93
1f7f57fedfeefefffe77b7befb7ff8ff96e7e7f,5,124,m.tree_remove_lemma_right.3.fold.133
1f7f57fedfeefeffff77b7befb7ff8ff96e7e7f,5,125,m.tree_min.4.unfold.68
1f7f57fedfeefeffff77b7befb7ff8ff96e7eff,5,126,p.bstRemove.6.pred.145
1f7f77fedfeefeffff77b7befb7ff8ff96e7eff,5,127,m.tree_add.1.pre.15
1f7f77fedfeefeffff77b7bffb7ff8ff96e7eff,5,128,m.tree_remove_helper.3.fold.92
1f7f77fedfeeffffff77b7bffb7ff8ff96e7eff,5,129,m.tree_max_helper.2.post.52
1f7f77fedfeeffffff77b7bffb7ff8ff97e7eff,5,130,m.tree_remove_lemma_right.4.unfold.132
1f7f77fedfeeffffff77b7bffb7ff8ffb7e7eff,5,131,m.tree_remove_lemma_min.4.unfold.127
1f7f77fedfeeffffff77b7bffb7ff8ffbfe7eff,5,132,m.tree_remove_lemma_right.1.pre.129
1fff77fedfeeffffff77b7bffb7ff8ffbfe7eff,5,133,m.create_tree_helper.1.pre.5
1fff7ffedfeeffffff77b7bffb7ff8ffbfe7eff,5,134,m.tree_add.2.post.17
1fff7ffedfeeffffff77b7bffbfff8ffbfe7eff,5,135,m.tree_remove_lemma.1.pre.101
1fff7ffedfeefffffff7b7bffbfff8ffbfe7eff,5,136,m.tree_min.3.fold.69
1fff7ffedfeefffffff7b7bffbfff8ffbfe7fff,5,137,p.bstRemove.6.pred.144
1fff7ffedfeefffffff7b7bffbfff8ffbff7fff,5,138,p.bst.6.pred.136
1fff7fffdfeefffffff7b7bffbfff8ffbff7fff,5,139,m.tree_contains.4.unfold.28
1fffffffdfeefffffff7b7bffbfff8ffbff7fff,5,140,m.main.5.inv.13
1fffffffdfeefffffff7b7bffbfff9ffbff7fff,5,141,m.tree_remove_lemma_left2.3.fold.116
1fffffffdfeefffffff7b7fffbfff9ffbff7fff,5,142,m.tree_remove.1.pre.86
1fffffffdfeefffffff7b7fffbfff9ffbffffff,5,143,p.bst.6.pred.137
1fffffffdffefffffff7b7fffbfff9ffbffffff,5,144,m.tree_main_lemma_bst.1.pre.40
1fffffffdffefffffff7bffffbfff9ffbffffff,5,145,m.tree_min_lemma.1.pre.81
1fffffffdffefffffff7bffffbfffbffbffffff,5,146,m.tree_remove_lemma_left2.4.unfold.115
1fffffffdffffffffff7bffffbfffbffbffffff,5,147,m.tree_max.1.pre.44
1fffffffdffffffffff7bffffbfffbfffffffff,5,148,m.tree_remove_lemma_min.2.post.126
1ffffffffffffffffff7bffffbfffbfffffffff,5,149,m.tree_contains_helper.2.post.31
1ffffffffffffffffff7fffffbfffbfffffffff,5,150,m.tree_min_helper.0.assert.78
1ffffffffffffffffff7fffffffffbfffffffff,5,151,m.tree_remove_helper.0.assert.98
1ffffffffffffffffff7fffffffffffffffffff,5,152,m.tree_remove_lemma_left2.2.post.114
1ffffffffffffffffffffffffffffffffffffff,5,153,m.tree_min_helper.2.post.73
0,6,0,NA
